state,2016,2017,2018,2019,2020
Arkansas,94.82,95.5,93.63,95.75,93.86
Arkansas,89.95,92.26,92.12,95.18,95.26
Arkansas,91.38,92.04,91.89,92.99,92.33
Arkansas,89.07,88.44,90.68,90.78,94
Arkansas,89.34,90.95,93.19,92.48,91.88
Arkansas,95.47,95.64,94.34,92.41,91.09
Arkansas,92.79,95.17,94.43,94.21,93.76
Arkansas,94.88,95.99,98.03,96.48,92.47
Arkansas,92.15,91.74,92.75,92.21,94.43
Arkansas,92.64,93.48,93.19,94.49,94.72
Arkansas,82.36,84.33,89.53,89.38,92.54
Arkansas,94.37,94.86,95.47,95.33,94.65
Arkansas,93.21,94.64,94.11,94.17,85.58
Arkansas,91.34,91.48,90.96,90.69,96.2
Arkansas,92.88,92.65,93.78,93.62,95.29
Arkansas,93.31,92.43,93.65,92.94,89.49
Arkansas,93.56,94.14,94.85,95.35,94.3
Arkansas,95.94,96.49,95.79,95.65,93.98
Arkansas,89,89.98,92.04,93.85,95.02
Arkansas,95.31,95.67,96.1,96.25,95.74
Arkansas,88.08,89.43,89.68,91.88,94.01
Arkansas,95.85,96.4,96.96,96.21,96.08
Arkansas,94.56,94.41,95.14,95.22,94.19
Arkansas,93.23,93.43,94.83,94.5,96.34
Arkansas,92.08,93.28,94.97,95.68,95.06
Arkansas,91.94,91.71,93.65,93.73,95.12
Arkansas,90.99,91.75,92.74,95.03,94.8
Arkansas,88.14,91.75,92.82,92.56,91.78
Arkansas,94.79,95.06,95.58,95.22,96.15
Arkansas,93.73,93.79,94.22,94.27,92.91
Arkansas,87.72,89.94,91.06,92.15,95.6
Arkansas,93.25,93.68,94.45,95.84,95.06
California,92.89,93.95,94.94,95.39,94.21
California,88.25,85.39,82.25,87.5,96.44
California,88.44,90.75,91.37,93.12,95.27
California,89.28,90.92,91.26,91.91,90.02
California,90.41,92.88,93.88,93.62,94.36
California,91.32,94.12,94.89,95.7,92.59
California,92.32,93.09,93.9,94.69,94.79
California,89.55,90.52,91.72,92.31,95.8
California,90.42,91.94,93.81,94.54,94.52
California,88.09,89.64,90.65,91.29,93.61
California,90.07,90.77,93.17,94.67,95.34
California,90.54,91.06,91.96,92.19,91.15
California,82.91,83.96,84.75,85.82,94.33
California,93.74,94.84,94.76,95.87,90.96
California,88.05,89.1,89.68,90.17,86.3
California,88.31,90.34,91.64,92.37,96.07
California,86.32,88.77,90.22,91.26,90.87
California,90.57,92.55,93.91,93.51,91.56
California,91.09,92.2,93.17,93.91,89.46
California,91.79,91.75,91.68,91.3,93.85
California,94.89,95.46,96.23,96.29,93.55
California,90.18,90.02,91.25,91.74,90.38
California,89.05,89.6,90.77,91.35,95.46
California,84.26,85.37,87.31,88.13,91.27
California,93.17,92.47,91.94,91.41,91.36
California,91.99,96.44,96.93,96.62,89.31
California,93.15,93.97,94.64,95.09,91.61
California,93.44,94.59,95,95.53,97.55
California,91.22,92.67,93.59,95.38,94.93
California,93.24,94.2,94.92,95.38,95.48
California,92.97,94.36,95.07,95.76,96.04
California,88.22,90.61,93.59,94.63,95.04
California,88.67,90.11,91.41,92.53,95.84
California,89.76,91.17,92.63,93.48,93.67
California,89.24,91.16,92.63,93.14,92.73
California,89.02,90.14,91.24,92.34,93.59
California,92.17,92.94,93.6,94,92.47
California,93.81,94.55,95.32,95.78,92.7
California,88.07,89.9,91.33,92.24,93.83
California,94.49,95.15,95.44,95.97,95.32
California,94.41,95.25,95.89,96.26,92.75
California,92.75,93.43,93.86,94.2,95.53
California,93.43,94.32,95.21,95.72,96.01
California,92.73,93.26,93.73,94.29,94.3
California,91.33,93.23,93.75,94.54,95.75
California,96.08,94.72,95.42,94.7,93.92
California,88.26,90.91,92.07,92.87,94.09
California,89.96,91.49,92.96,94.01,92.97
California,93.02,94.07,94.93,95.65,92.61
California,86.24,88.24,89.49,90.92,94.12
California,88.82,89.48,90.32,91.71,95.38
California,87.36,89.86,90.71,91.4,91.18
California,90.11,90.45,91.43,91.18,92.3
California,89.42,89.96,90.63,90.46,91.14
California,88.41,92.1,93.25,94.78,90.95
California,92.51,93.45,94.1,94.9,90.1
California,92.05,92.76,93.54,93.81,92.7
California,87.35,90.1,91.62,92.85,94.9
Colorado,93.89,94.86,95.61,96,94.42
Colorado,91.3,90.12,90.69,90.78,92.89
Colorado,93.96,94.83,95.63,95.92,95.93
Colorado,93.27,94.56,94.21,94.87,93.12
Colorado,96.29,95.5,97.54,97.95,95.64
Colorado,92.14,90.73,92.77,94.23,95.74
Colorado,94.4,94.83,95.22,95.8,98.46
Colorado,95.48,96.04,96.4,96.82,95.6
Colorado,96.15,97.46,97.24,96.64,95.48
Colorado,91.21,91.91,92.47,92.58,96.41
Colorado,95.62,96.84,98.13,96.87,97.74
Colorado,89.66,90.62,88.51,89.54,98.27
Colorado,88.35,90.86,88.88,90.4,95.94
Colorado,73.58,78.55,83.92,85.25,90.23
Colorado,89.22,91.26,93.48,94.31,90.68
Colorado,90.85,91.53,91.53,93.39,88.38
Colorado,94.61,95.48,95.99,96.25,95.93
Colorado,96.42,99.63,98.96,96.12,93.09
Colorado,96.42,96.75,97.02,97.11,95.66
Colorado,96.98,97.28,97.77,98.14,96.14
Colorado,94.4,96.4,97.25,97.98,96.52
Colorado,92.62,93.24,93.85,94.18,96.1
Colorado,91.98,93.75,94.01,94.51,98.24
Colorado,93.77,94.61,95.72,95.55,94.07
Colorado,96.07,96.73,97.64,98.46,94.48
Colorado,94.2,95.41,94.84,96.7,96.01
Colorado,92.89,92.68,94.2,94.88,98.06
Colorado,94.94,95.91,96.19,95.29,95.01
Colorado,87.38,92.08,95.86,96.9,95.78
Colorado,98.25,98.19,97.82,98.31,94.84
Colorado,94.84,95.67,96.28,96.37,97.72
Colorado,95.87,96.93,97.11,97.21,90.04
Colorado,94.97,94.71,95.12,96.41,96.05
Colorado,94.04,94.28,94.51,95.89,96.79
Colorado,94.93,95.63,95.94,95.94,96.32
Colorado,93.99,94.74,94.98,95.35,96.37
Colorado,92.2,92.18,92.33,91.94,96.06
Colorado,95.79,96.29,97.02,97.34,94.91
Colorado,93.08,93.78,95.86,96.72,92.15
Colorado,91.28,92.04,92.25,93.33,97.06
Colorado,97.89,98.43,98.37,97.44,94.78
Colorado,95.45,96.4,95.94,95.62,93.12
Colorado,93.48,94.14,94.93,94.9,94.4
Colorado,91.4,91.97,92.99,93.73,94.95
Colorado,94.52,95.51,95.57,95.93,95.56
Colorado,89.86,90.73,91.57,92.66,94.67
Colorado,93.58,94.11,95.13,96.2,95.77
Colorado,95.67,95.35,94.63,94.49,94.08
Colorado,97.34,98.04,98.26,98.58,95.81
Colorado,94.51,95.69,95.67,96.99,94.14
Colorado,89.45,91.56,92.35,95.18,99.32
Colorado,90.34,90.75,91.56,92.5,96.63
Colorado,95.66,93.69,94.83,94.1,95.01
Colorado,90.62,91.22,90.54,91.29,93.11
Colorado,95.9,96.86,97.01,96.9,94.21
Colorado,92.3,92.32,93.14,93.82,90.65
Colorado,89.72,90.24,97.18,98.01,96.09
Colorado,95.7,96.15,97.41,97.48,90.2
Colorado,91.59,93.23,93.27,92.99,94.44
Colorado,95.65,96.67,96.52,96.83,96.98
Colorado,92.76,93.28,93.66,94.24,93.65
Colorado,96.05,95.84,97.29,97.57,96.91
Colorado,93.98,94.69,95.54,95.95,96.08
Colorado,97.82,97.65,97.43,96.19,97.94
Connecticut,91.79,92.38,93.04,93.44,94.95
Connecticut,91.76,92.64,93.46,94.16,95.88
Connecticut,93.31,93.97,94.77,95.02,93.43
Connecticut,94.74,94.93,95.31,95.35,94.2
Connecticut,91.45,92.32,93.03,93.56,94.23
Connecticut,92.3,93.04,93.84,94.07,95.65
Connecticut,93.73,94.2,94.75,95.11,93.58
Connecticut,91.62,92.4,93.72,94.46,94.71
